Name,Bat Speed,Swing Length,Time to Contact,Swing Acceleration
"Julien, Edouard",71.9,7.1,0.135,24.34085385
"Ahmed, Nick",67.9,7.3,0.147,21.11315155
"Murphy, Sean",73.2,7.9,0.147,22.67417256
"Fletcher, Dominic",66.7,6.5,0.133,22.88098349
"Jones, Nolan",70.7,6.7,0.129,24.94022697
"Montero, Elehuris",75.1,7.6,0.138,24.80862293
"Grandal, Yasmani",70.3,7.4,0.144,22.3262255
"Rendon, Anthony",68.3,6.7,0.134,23.27571234
"Senzel, Nick",68.7,7.5,0.149,21.03723156
"Heyward, Jason",73.3,8.2,0.153,21.90435521
"Hays, Austin",72.6,7.2,0.135,24.4724315
"Kiermaier, Kevin",70.4,7.1,0.138,23.33583504
"Bauers, Jake",73.8,7.5,0.139,24.27659856
"Flores, Wilmer",66,6.9,0.143,21.10450435
"Sosa, Edmundo",73,8.3,0.155,21.46367108
"Martin, Austin",66.9,6.9,0.141,21.68400613
"Yepez, Juan",70.5,7.3,0.141,22.76102158
"Laureano, Ramón",72.7,7.2,0.135,24.5398951
"Carpenter, Kerry",71.6,7.5,0.143,22.85078677
"Wisely, Brett",67.5,6.8,0.137,22.39932904
"Caratini, Victor",71.9,7,0.133,24.68858033
"Bruján, Vidal",66.9,7,0.143,21.37423461
"Wood, James",73.9,7.4,0.137,24.67138518
"Calhoun, Willie",69.9,6.7,0.131,24.37900213
"Smith, Dominic",68.9,7,0.139,22.67131861
"Rivera, Emmanuel",69.6,6.9,0.135,23.46960417
"Duvall, Adam",72.4,7.6,0.143,23.05684695
"Fitzgerald, Tyler",70.5,7.4,0.143,22.4534402
"Robles, Victor",68.3,6.9,0.138,22.60105401
"Grichuk, Randal",73.7,7.7,0.142,23.58199957
"Yelich, Christian",73.2,7.5,0.140,23.88346176
"Gorman, Nolan",73.2,7.5,0.140,23.88346176
"Siani, Michael",68.9,7.2,0.142,22.04155976
"Urías, Ramón",70.5,7.5,0.145,22.154061
"Pillar, Kevin",69.4,7.6,0.149,21.18564668
"d'Arnaud, Travis",71.4,7.8,0.149,21.84933369
"Lewis, Royce",73.3,7.7,0.143,23.32671594
"Meneses, Joey",70.4,7,0.136,23.66920411
"Kelly, Carson",69.5,6.9,0.135,23.40221123
